;== NAME      RA           Dec        Lon         Lat     DESIGN NVISITS       TYPE SURV PRI  MJD   HA   COMMENTS ==
 176+00       83.9397     32.3278    176.0000      0.0000    200 3          disk2  N    9  Y1    3.0    ;
 206+00       99.6863      6.1662    206.0000      0.0000    100 3          disk2  N    9  Y1    0.0    ;
 206+00       99.6863      6.1662    206.0000      0.0000    200 3          disk2  N    9  Y1    0.0    ;
 199+00       96.4058     12.3734    199.0000      0.0000    100 3          disk2  N    9  Y1    0.0    ;
 199+00       96.4058     12.3734    199.0000      0.0000    200 3          disk2  N    9  Y1    0.0    ;
 191+00       92.4558     19.4154    191.0000      0.0000    100 3          disk2  N    9  Y1    1.0    ;
 191+00       92.4558     19.4154    191.0000      0.0000    200 3          disk2  N    9  Y1    1.0    ;
 191-12       81.6765     13.3175    191.0000    -12.0000    100 3          disk2  N    8  Y1    0.0    ;
 191-12       81.6765     13.3175    191.0000    -12.0000    200 3          disk2  N    8  Y1    0.0    ;
 184+00       88.7127     25.5024    184.0000      0.0000    100 3          disk2  N    9  Y1    0.0    ;
 184+00       88.7127     25.5024    184.0000      0.0000    200 3          disk2  N    9  Y1    0.0    ;
  020+12      266.2236     -5.7401     20.0000     12.0000 110     3          disk2  N    8  Y1    0.0 ;inner_disk
  025+12      268.5792     -1.4513     25.0000     12.0000 110     3          disk2  N    8  Y1   -1.0 ;inner_disk
  025-12      290.1238    -12.4117     25.0000    -12.0000 110     3          disk2  N    8  Y1    0.0 ;inner_disk
  100+12      313.4970     63.7074    100.0000     12.0000 110     3           disk  N    8  Y1    0.0 ;MRing
  100-12      340.2536     44.9861    100.0000    -12.0000 110     3           disk  N    8  Y1    0.0 ;MRing
  120+12        1.9835     74.6235    120.0000     12.0000 100     3           disk  N    8  Y1    0.0 ;MRing
  120+12        1.9835     74.6235    120.0000     12.0000 200     3           disk  N    8  Y1    0.0 ;MRing
  120-12        8.3223     50.7683    120.0000    -12.0000 100     3           disk  N    8  Y1    1.0 ;MRing
  120-12        8.3223     50.7683    120.0000    -12.0000 200     3           disk  N    8  Y1    1.0 ;MRing
  140+12       62.8083     67.9722    140.0000     12.0000 100     3           disk  N    8  Y1    0.0 ;MRing
  140-12       38.0122     47.5098    140.0000    -12.0000 100     3           disk  N    8  Y1    0.0 ;MRing
  160+12       86.6991     52.1318    160.0000     12.0000 100     3           disk  N    8  Y1    2.0 ;MRing
  180+12       98.8574     34.6155    180.0000     12.0000 100     3           disk  N    8  Y1    0.0 ;MRing
  180+12       98.8574     34.6155    180.0000     12.0000 200     3           disk  N    8  Y1    0.0 ;MRing
  180-12       75.3517     22.2382    180.0000    -12.0000 100     3           disk  N    8  Y1    3.0 ;MRing
  180-12       75.3517     22.2382    180.0000    -12.0000 200     3           disk  N    8  Y1    3.0 ;MRing
  K01-082+17  289.5332     50.8338     82.0054     16.7508 100     1    kep_apokasc  N    9  Y1    1.0 ;K1_APOKASC
